stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,0.85,0.28,0.56,0,0,0,84.27,3.95,0,0,0.85,0,0,0.56,32.98,30.72,0,0,0
21Day,0.74,0,3.33,1.48,0.37,0,0,0,0,0,0,0.74,0.37,2.96,0,0.37,0,26.64,1.85,0,0,1.11,1.11,0.37,0,55.13,148.36,0.74,0,0.37
3Month,0,0,0.62,0,0,0.1,0,0.94,0,0,0.21,0.1,0,0,0,0.1,0.1,0.52,0,0,0,0,0,0.21,0,0.62,0.1,0.21,0.1,0.21
22Month,0,0.14,0.41,0,0,0.82,0.14,3.96,0.14,0.14,0.82,0.27,0.41,0.68,0.27,0.14,0,0.14,0.14,0.14,0.14,0.14,0,1.09,0,17.22,0,0.41,0,0.41
