stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.85,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,1.13,0,0,0,14.37,0.85,0,0.28,1.41,0.28,0,0.56,0,0,0.28,0,0,0
21Day,0.37,0.37,0,1.48,0,2.59,0,0.74,0,0.37,0,0,0.37,0,0.74,0.37,0,2.22,0.37,4.07,0,0,0,18.87,2.59,0,4.81,1.11,1.48,0,1.11,1.11,0.74,0.74,0,0,0.37
3Month,0,0.1,0.1,1.46,0.1,0,0.21,0,0.31,0,0,0,0.73,0.31,0.1,1.25,0.1,0.52,0.31,0.62,0.1,0,0.1,0.21,0.1,0.1,1.14,0,0.21,0.52,0.21,0,0,1.35,0.1,0.42,0.62
22Month,0,0,0,0.41,0,0,0,0,0.27,0.41,0.55,0,8.34,0.27,0,2.19,0,0.27,0.41,0.82,0,0.14,0,0.55,0,0,0,0,0,1.78,0.14,0,0,0.27,0,0,0.14
