stage,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0.28,0,0,0,0.28,2.54,0,0,0,0,0
21Day,0.37,0,0.37,0,0,0,1.48,0,0,0.37,0,0
3Month,0.1,0,0.83,0.21,0.21,0,0,0.1,0.1,0,0.1,0.1
