stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.28,0,1.97,0.28,0.56,0,0,0,0,0,0,0,0,0,0,4.23,0,1.69,0,0,0.28,0,128.52,4.79,0,0,3.66,0,0,0.28,0,0.28,0,0
21Day,3.7,1.11,0,5.55,0.74,1.85,0,0.37,0,0,0.37,0,0,0,1.48,0.37,0.74,0.37,24.79,0,0.37,1.48,0,85.84,6.29,0.37,0.74,11.1,2.59,0,0.37,0,0.74,0,0.74
3Month,0,0.42,0,0.73,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0.1,0,0.1,0.21,0.21,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0
22Month,0,3.14,0.14,1.23,0,0,0.27,0,0,0,0.27,0.41,1.64,0.14,0,0.27,0.14,0.27,0.55,0,0.14,0,0,0.41,0,0.41,0.14,0,0.14,0,0,0.14,0,0.27,0
