stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Retinal_cell,T_cell
24hpf,11,0,0,0,0,0,2,2,0,0,0
72hpf,4.51,0.28,0.85,0,0.28,0,8.17,0.56,0,0.28,0
21Day,2.96,0,0,0,0,0.74,4.07,0.74,0,0,0
3Month,0.1,0.1,0,0.1,0,0,0.1,0,0,0,0.1
22Month,0,0,0,0.68,0,0,0,0,0.14,0,0
