stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,2,0,3,0,0,0
72hpf,0,0,0,0.28,1.69,0.85,0,0,0
21Day,0,0,0,0.37,0.74,0,0.74,0,0
3Month,0,0,0.1,0.1,0,0,0,0.1,0.1
22Month,0.14,0.55,0,0,0,0,0,0,0.14
