stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.41,0,0.28,0,0,0,0,0,0,0.28,0,0,0.56,0,0,31.57,3.38,0,0,0.85,0.28,0,0,0.85,3.1,0,0,0
21Day,0.74,0,0.37,4.07,0,3.33,0.74,0,0.74,0.74,0,0.37,0.74,1.11,0.74,6.66,0,0,84.36,2.96,0,0,1.85,1.85,1.11,0.74,4.07,21.46,2.59,0,0.37
3Month,0,0.1,0.31,1.14,0,0,0,0.31,0.1,2.5,0.31,1.04,0,0.21,0.21,1.77,0,0.21,1.87,0,0.1,0.1,0.1,0.62,25.69,0.31,0,0,0,0.73,0.21
22Month,0,0.14,0.55,0.27,0.14,0,0,0.14,0.27,9.57,0.27,1.23,0,0.14,0.41,1.37,0.14,0,1.5,0,0.41,0.14,0.14,0.27,8.75,0.68,0,0,0,0,0.27
