stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0.74,0.37,0,0,2.22,1.48,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.37
3Month,0.1,1.14,0.31,10.3,0.21,0.21,0,3.33,55.02,0,10.61,203.87,1.25,4.89,0.52,22.16,14.56,4.06,1.35,0.21,0.52,0.52,0.1,0,0.52,0.73,0,0.21,1.04,0.62,1.35,0.1,0,0.83,0.94,15.39
22Month,0.68,2.32,1.09,9.16,0.14,5.74,0.55,1.64,312.65,0.27,17.76,383.03,5.6,5.06,0.41,10.93,56.71,10.11,0.27,1.23,1.5,0,0.14,0.27,0.68,0.82,0.14,0.14,0,0,0.14,0.41,0.14,0.27,0,8.06
