stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,1,2,0,0,0,0,0,0,0,0,0,11,0,0
72hpf,0,0.56,0,0.28,0,0,0,0.85,0.28,0.85,4.79,0.56,0,0
21Day,0.74,0,0.74,0,0.37,0.37,0,0.74,0,1.48,0.37,0.74,1.11,0
3Month,0,0,0,0,0,0.31,0,0,0,0.1,0,0,0,0.1
22Month,0,0,0,0,0,0.27,0.14,0,0,0,0,0,0,0
