stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0,0,0,0.28,0,0.28,0,0,0.28,0,0,0,0,0,0
21Day,0.37,0.37,0.74,2.59,0,1.85,0,0,0,0,0,0.37,0,0.37,42.92,0.37,0,0,1.48,0,0.37,0.74,0,3.7,1.11,0,0,0,1.48,1.11,0,0.37,0,0,0.74
3Month,0.31,0.62,0,5.41,0.1,0,1.25,0.21,2.81,0.73,0,11.86,0.94,0,224.36,0.42,1.25,0.83,3.22,0.62,0,0.62,0.21,0.1,0.1,0.21,0.21,0,0,1.35,1.66,0,0.21,1.35,1.35
22Month,0,0.96,0.27,1.5,0,0,0,0,4.92,1.09,0.14,20.77,0.55,0,223.97,0.14,0.27,0.68,0.82,0,1.23,0.68,0,0.14,0,0.41,0.14,0.14,0.14,0.14,1.78,0,0.14,0,0.27
