stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,2.82,0.28,0.56,0,0,0,0,0,0,0.28,0,0.56,0.28,0,0.56,0,0.28,0,2.25,2.25,0,0,1.13,0,0,0.56,0,0,0
21Day,0.37,0.37,0,5.55,0,0,0,1.11,1.11,0,0,0,3.33,0.37,0,0.74,3.7,2.22,0,0,1.11,0,0.74,0,0,0.74,0,0,0.37,0.37,0,0.74
3Month,0,0.21,0,1.77,0,0,0.1,0.21,2.39,0,1.77,1.66,0.62,0.31,0,0.52,2.91,0,0.1,0.1,0.21,0,0.1,0.1,0.1,0,0.31,0.42,0,0,0.52,0.21
22Month,0,0,0.14,1.5,0.14,0,0,0,5.33,5.74,6.97,0.55,0.68,0.41,0,0,1.78,0.68,0.14,0.14,0.27,0,0,0,0,0.14,0.14,0,0.82,0,0,0
