stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,1.41,0.28,0,0,0,0,0,0.28,0,1.13,7.61,0,0.28,0,0,2.25,0.85,0,0.28,0,0,0,0,0,0
21Day,15.91,0,0.37,0,0,0.37,0,0,0,1.11,15.54,0,1.48,0.37,0,1.11,0.37,0.37,0,0,0,0.37,0,0,0.74
3Month,6.76,0,0,0.21,0.1,2.6,0.1,0,0.31,0.73,0.31,0.1,0.31,0.1,0.1,0,0,0,0.31,1.66,0,0,0.52,0.1,0
22Month,0.27,0,0,0.14,0,0.41,0,0,0.14,0,0,0,0,0,0,0.14,0,0,0,0.14,0.14,0,0,0,0
