stage,Granulosa_cell,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell
24hpf,0,0,0,0,2,0,0
21Day,0,0,0,0.37,0,0,0
3Month,0,0.73,0,0,0,0,0.21
22Month,0.14,0.55,0.14,0,0,0.14,0
