stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,16,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,1.13,2.25,0.28,0,0,0,0,0,0,0,0,1.13,1.97,0,2.25,0,0,36.64,6.2,0.56,0.85,2.54,0,0,12.12,0,0.28,0.56,0
21Day,0.74,0.37,5.18,0.74,1.11,1.48,0.37,0,0,0,0,1.48,0.37,0.37,3.33,1.11,6.66,0.37,0,29.6,2.96,0.37,0.37,5.18,1.11,0.37,4.81,0.74,0.74,0.37,0.74
3Month,0,0,1.04,0.52,0,0,0,0.1,0,1.25,0.21,0,0,0,0.21,0,0.1,0,0.21,0,0,0.52,0.21,0.1,0.1,0.62,0,0,0,0,0.1
22Month,0,0,0.55,0,0,0,0,0,0.68,1.78,0,0,0.68,0,0.27,0,0.27,0,0,0,0,0.27,0,0,0.14,0.27,0,0.14,0,0,0.14
