stage,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
3Month,0,0,0,0.1,0.1,0,0,0.1,0.1,0,0.1
22Month,0.27,0.14,0.68,1.37,0,0.14,0.27,0,0.14,0.14,0
