stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,1.69,0,0,0,0,6.2,0.28,0,0.85,0,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0.37,0.37,0.74,1.48,0,0.37,2.96,0.74,0,0,0,4.07,0.37,0,0,0,0,0,0.37,0,0,0
3Month,0,1.04,0.31,1.14,0,0.83,10.09,0.42,12.48,0.83,1.04,0.52,6.55,0.52,0.21,0,0.1,0.1,0,0,0.62,0.83,0.83,0.31,0,3.74,0.31,3.43
22Month,0,0.41,0,0.41,0.14,0,11.89,0.96,4.24,0.41,0.14,0.14,3.96,0.41,0,0.27,0.14,0,0,0.41,0.68,0.41,0.55,0.14,0,0.68,0,0.96
