stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,10,1,0,11,0,0,0,0,0,4,0,0,0,1,1,0,11,0,0,9,1,2,0,0,0,0,0,1,0,0,0
72hpf,7.61,0.85,0,1.97,1.97,0.85,0,0,0,0,0,0,0,1.97,6.2,0.28,7.33,0,4.79,2.54,0,4.23,0,0,0.28,0,0,0,0,0,0
21Day,36.63,0,0,7.4,0.74,0.74,0,0,0,0,0,0,0.37,0.74,5.18,0.37,5.92,0.37,0.74,1.85,0,2.59,0,0,0.74,0.37,0.74,0,0,0,0.37
3Month,0.21,0.1,0.1,4.16,0,0,0,0.1,0.42,0,0.52,0,0.21,1.04,0.94,2.39,0.31,0.42,0.21,0.42,0,0,0.1,0.21,0.1,0,0,0,0.21,0.1,0.42
22Month,0,0.27,0,1.09,0,0,0.14,0,1.23,0,0.68,0.14,0,0.41,0.68,0.68,0.27,0.55,0.14,0,0.14,0,0,0.14,0.14,0.14,0,0,0,0,0
