stage,Epithelial_cell,Epithelial_cell__Brain_,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
72hpf,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
3Month,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0
22Month,0.55,0.14,0.14,12.3,0.14,0.96,0,0.14,0.14,0.41,0.14,0.27,0.27,0,0.27
