stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
72hpf,0,0.28,0.56,0,0,0,0,0,0,0.28,0.28,4.79,1.41,0.56,0,0,0,0,0
21Day,0,2.22,0,0.37,0,0,0.37,0.37,0,0.37,1.11,1.11,2.59,0,0.37,0,0.37,0,0
3Month,0.1,0.31,0,0,0.21,0.1,0,0,0.1,0,0,0,0,0,0,0.62,0,5.2,0.1
