stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,1,0,0,0,1,0,0,1,4,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0,0,0.28,0,0.56,0,1.97,1.41,0,0.85,0,0
21Day,0.74,0.37,1.48,0,0.37,0.37,0,1.48,0,2.96,0,0.74,1.11,0,0.74,0,0
3Month,0,0,0.1,0,0,0,0.1,0.1,0,0,0.1,0,0,0.1,0,0.21,0.1
