stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Smooth_muscle_cell
72hpf,0,0,0,0,0,0,0,0,0.56,0,0,0,0.28,0
21Day,0,0,0,0,0,0.37,0,0.74,0.37,0.74,0.37,0.37,0,0
3Month,0.1,0.1,0.52,0.1,0.73,0,0.1,0,1.04,0.1,0,0,0,2.39
