stage,Epithelial_cell,Erythrocyte,Granulosa_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,1,0,0,0,0,0,0,0,3,0,1,12,0,1,0,0
72hpf,0.56,0.85,0,0.28,0,0.28,1.13,0,2.25,0,6.2,7.89,0,0.85,0.56,0.85
21Day,0.37,0.37,0,0,0,0,0,0,0.37,0,0,1.11,0,0.37,0,0
3Month,0.42,0,0,0,0,0,0.1,0.21,0.1,0.1,0,0,0.1,0,0,0
22Month,0,0,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0
