stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,6.2,0.28,0,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,2.22,0.37,0,0,0.37,0,0,0.37
3Month,0,0.42,0.1,0.1,0.21,0.1,0.1,0,0.21,0.21,0.21,0.1,0.1,0.1,0.62,0,0.1,0,0.1,3.12,1.25,0
22Month,0.14,0,0,0.14,0,0.14,0,0.14,0.55,0,0,0.14,0,0,0.14,0,0.14,0,0,0,0,0
