stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,2.25,0.28,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0.74,0,0,0,0,0,0,0,0
3Month,0.1,0.73,0.1,0.1,0.21,0.62,0.1,0,0.21,0.21,0.1,0.21,0,0,0,0.21,0,0,0,0.21,0.21,0
22Month,0,0.27,0.14,0.14,0.55,1.78,0,0,0,0.14,0.27,0.68,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14
