stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.93,1.69,0,0,0.56,0,0,0.28,0,0,0,0,0
21Day,0,0.37,0,1.11,0.37,2.22,0.37,0,0,0,1.48,1.11,0,0,1.11,0,0,0.37,0,27.75,1.85,0.37,0.37,0.37,0.74,0,0.37,1.11,0.37,0,0,1.11
3Month,0,0,0,0.52,0.21,0,0,0.21,0.1,0.1,2.81,0,0.42,0.1,0.1,0.21,0.31,0,0.21,0.31,0,0,0.21,0,0,0.1,0,0,0,0.1,0.31,0.21
22Month,0,0,0.14,0.14,0,0,0,0.14,0.55,1.37,0.82,0.14,0.14,0,0.14,0.14,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0.27
