stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0,8.46,0,0,0,0,0,0,0,0,0
21Day,49.95,8.14,6.29,132.46,2.96,91.02,0,16.65,0,0.37,5.55,24.05,7.03,48.1,16.65,13.32,86.21,27.38,154.65,0.74,1.48,23.31,1.48,184.25,79.55,1.85,5.55,0,66.23,1060.75,0,0.37,11.84,10.73,26.64,8.14,0.37,0,21.09
3Month,0.21,1.87,1.87,22.05,0.21,0,0.52,0,0.31,3.43,11.34,40.46,9.78,0.83,14.15,3.33,6.35,5.41,7.39,1.35,0.21,3.85,1.25,0.83,0.52,1.66,0.73,0,0.31,301.65,4.89,5.3,0.31,0.1,0,0.1,3.33,5.51,6.76
22Month,0.14,0.41,0.14,1.09,0,0,0,0,0,0.55,17.08,11.62,0.41,0.27,2.73,0.14,0.27,1.91,0.96,0.14,0.55,0.27,0,0.14,0,0.68,0.68,0.14,0,53.02,0,0.68,0.27,0.27,0,0,0.14,0,0.96
