stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulosa_cell,Immune_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,0,0,4,0,0
72hpf,0.28,0,0.28,0.28,0,0,0,13.81,1.69,0.85,0.28
21Day,0.74,0.37,0,0,0,0,0.37,9.62,0.37,0,0
22Month,0,0,0,0,0.14,0.14,0,0,0,0,0
