stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,3.1,2.25,0,0.56,0
21Day,0.37,1.11,0.74,0.37,0.74,0,0,0,0.37,0.37,0,0,0.74,0.37,0.74,0,0.37,0,1.11,0,0,0.74,0
3Month,0,0.52,0,0,0.21,0.21,0.31,1.35,0.52,0,0.21,0,0.62,0.52,0.21,0,0,0.21,0,0,0.1,0.1,0.21
22Month,0,0.27,0,0,0,0,1.09,0.96,0.27,0.41,0.41,0,0,0.55,0,0.14,0,0,0,0,0,0,0.27
