stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28
21Day,0,0.37,1.11,1.11,0,0,0,0,0.37,0,0,0
3Month,0,0.1,0,0,0.1,0,0,0,0,0.1,0.1,0
22Month,0.14,0.27,0,0,0.14,1.37,0.41,0.14,0.27,0.14,0,0
