stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0.56,0,0,0
21Day,0,2.96,0,0,0,0.37,0.74,0.37,0,0
3Month,0.1,1.14,0.21,0.1,0.31,0.21,0.1,0,0,0.1
22Month,0,0.27,0.14,0.14,0,0.14,0.27,0,0.55,0
