stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0.28,3.95,0,0,0,0,0.28,0.28,0,0
21Day,0,0,0.37,0.37,0,0,0,0.37,0,0,0,0,0.74,0.37,0,0.37,0,0,0,0,0
3Month,0.1,0.1,0.1,0,0,0,0.1,0,0.1,0,0.21,0.31,0.62,0,0.31,0.1,5.41,0,0,0.1,0.1
22Month,0,0.14,0,0,3.42,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
