stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,3,0,11,0,0,0,0,0,0,0,0,0,0,1,3,3,18,0,0,0,1,21,233,0,0,0,6,0,0,0,0,0,0,0,0
72hpf,0.56,1.97,0,2.25,0.28,1.41,0,0,0,0,0.28,0,0,0.28,9.86,4.51,0.56,5.36,0,5.64,0,1.97,59.47,12.68,0.85,0.56,0,11.84,0,0,1.97,0,0.56,3.66,0,0
21Day,2.59,0,0,16.65,0,3.7,0,0.37,0,0,6.66,0.37,0.74,8.88,0.37,6.66,0.37,8.14,0,0,1.11,1.11,31.82,8.51,0.37,0.74,0,8.88,1.48,0,2.96,0.37,1.48,1.48,0,0.74
3Month,0,0.21,0.21,1.87,0,0,0,0,0.21,0,39.84,0.31,0,4.78,0,0.83,0.42,0.62,0.21,0,0.21,1.77,0.21,0,0,0.31,0,0,0.21,4.37,0,0,0,0.1,2.18,0.1
22Month,0,0.14,0.41,0.96,0,0,0.27,0,0,0.41,46.46,0,0.41,8.47,0,0.82,0.68,0.82,0,1.37,0,0.27,0,0,0.14,0,0.14,0,0.27,1.09,0,0,0,0,0,0.14
