stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,1.41,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,4.23,1.97,0,0,1.13,0,0,0,0,0
21Day,0,0,0.37,0.37,0,2.22,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0.74,0.37,0,0,0,0,0,0,0,0
3Month,0,0.21,0.21,1.35,0,0,0.1,0.21,0.42,0.62,0,1.25,0.62,0.83,0.1,0.31,0.62,0.62,0.1,0,0.21,0.52,0.1,0,0,0.1,0.21,2.7,0.52,0.62,0.94
22Month,0,0.55,0,0.82,0.14,0,0,0.41,0.27,2.73,0.82,5.74,0.55,1.23,0,0.14,1.37,1.5,0.14,0.27,0.27,0.27,0,0.41,0.14,0.14,0.14,0.41,0,0,0.14
