stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,2,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,1,46,0,0,0,0,0,0,0,0,0
72hpf,1.69,0,0,0.28,0.28,0.28,0,0.28,0,0,0,0.56,0,2.54,3.66,0.28,1.97,0.85,0,0,2.82,4.23,1.13,0.56,0.28,0,0.56,0,0,0,0
21Day,6.66,0.37,0.37,12.58,3.33,5.18,0,0,0,1.11,0,3.33,1.85,0,5.92,1.48,11.1,0.37,0.37,0,2.22,8.14,4.44,1.85,0,1.48,0.37,0.74,0,0,0.37
3Month,0.1,0,0.21,1.35,0,0,0.21,0,0,5.62,0,0.1,1.46,0.21,0.62,0.83,0.21,0,0.42,0.31,0.21,0,0,0.21,1.04,0.1,0,0,0.21,0.21,0
22Month,0,0,0,0.82,0,0,0,0.14,0.14,4.37,0.27,0.55,0.41,0.27,0,0.14,0,0,0.14,0,0.14,0,0,0,0.14,0,0,0,0,0,0
