stage,Erythrocyte,Goblet_cell,Hepatocyte,Keratinocyte,Neural_progenitor_cell,Spermatocyte
72hpf,0.28,0,0,0.85,0.28,0
21Day,0,0,0,0.74,0,0
3Month,0,0.1,0,0,0,0.1
22Month,0,0,0.41,0,0,0
