stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0.28,0,0,0,0,0,1.13,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0,0.37,1.48,0,0.37,1.11,0,0.37,6.66,0,0,0,0,0,0.74,0,0,0,0,0,0.37,0,0,1.85
3Month,0,1.14,0.1,0,7.91,0.73,17.37,0,0.42,0.31,12.17,0.31,0,0,0.1,0.21,0.1,0,0,0.1,0.21,0,0,0.21,0.1,7.28
22Month,0.41,0.55,0.96,0,89.1,2.32,6.42,0.14,0,0.14,66,0.41,0.14,0.27,0.27,0,0.14,0.27,0.14,0,0,0.14,0,0,0,1.5
