stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,65,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,29.59,0,0,1.97,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0.28,0,0,0,0,0.28,0
21Day,14.8,0,0,0,0.37,0,0.37,0,0,0,0,0,0.37,0,0.74,0,0,1.11,0,0,0.37,0.37,0,0.37,0.74,0,0
3Month,0.21,0.1,0,0.31,0,0,0,0,0,0.31,0.1,0.42,0,0,0,0.21,0.1,0,0,0,0,0,0.31,0,0,0,0.21
22Month,0,0.82,0.14,0.68,0,0.27,0.14,0.14,0,1.64,0.27,0.55,0.14,0.55,0.14,0,0,0,0,0.55,0,0,1.09,0,0.41,0,0.14
