stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,0.56,0
21Day,0.74,0,0,0,0,0.37,0,0.37,1.11
3Month,0.1,0,0,0,0.1,0.1,0,0,0
22Month,0.14,0.14,2.6,0.14,0,0,0.27,0,0
