stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
21Day,2.22,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,12.27,0.1,0.1,0.31,0.42,0.42,0.1,4.47,0.1,0.21,0,0.1,0.1,0.1,0.21,0.1,0.1
22Month,0.41,0,0,0,0.27,0,0,0.82,0,0,0,0,0,0,0,0,0
