stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,3.66,1.69,0.28,0,0,0,0,0,0,0,0.85,0,0.28,0,0,0.56,3.95,3.38,0,0.85,0,0.28,2.82,0,0,0.28,0,0,0
21Day,0.74,0,32.56,0,1.11,0,0,0.37,0,0.74,0.37,0.37,1.85,0,0.74,0,0.37,0,2.59,0.37,0,0.37,2.22,0,0.74,0.37,0.37,0,0,0,0.37
3Month,0,0.21,22.36,0.31,0,0.42,0.21,1.98,0.21,0.1,1.04,4.06,0.83,0.42,0.52,0.21,0.31,0.52,1.46,0.1,1.14,0,0.52,6.24,0.21,0.1,0,0,5.1,12.69,0.52
22Month,0,0,3.96,0,0,0,0.14,1.64,0.14,0,0.27,0.14,0,0,0.55,0,0,0,0,0,0,0,0.14,1.37,0,0,0,0,0,0,0
