stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21Day,0,1.85,0,0,0,0,0,0,0,0,0,0,0.37,0,0.74,0,0.37,0,0,0,0,0.37,0,0,0.74
3Month,0.1,3.02,0.1,0.31,0.31,0.52,0.1,0.1,0.52,0.21,0.83,6.35,0,0,0.21,0.21,0.21,0.31,0.1,0.1,0.21,0,0.31,0.21,11.34
22Month,0,1.5,0,0,0.14,0.55,0,0.27,0.14,0.41,0.27,0.55,0.27,0.14,0.14,0,0,0,0,0,0,0.14,0,0,0.27
