stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0.56,0,0,0.56,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0.28,0,0,0,0,0
21Day,1.11,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0.37,0.37,0,0,0
3Month,0,0.21,0.1,0.42,0,0,0.1,0,0,0.83,0.21,0,0.1,0,0.31,0.1,0,0.1,0.1,0,0,0.1,0.31,0.21,0.1
22Month,0,0.14,0,0.27,0.14,0.14,0,1.09,0.14,7.38,0.41,0.14,0.27,0.14,0,0,0.41,0,0,0,0,0,0.14,0,0.27
