stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.85,0.56,0,0,0,0,0,0.28,0,0.28,0.56,0,0.85,0.28,0,0,80.33,31.29,0.28,0,0,1.13,0,0,0.56,0.28,0,0,0,0,0
21Day,0,0,0,5.18,2.59,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,54.02,10.73,0.37,0,0,0.74,0.74,0,0.37,0.74,0.37,0.37,0,0,0.74
3Month,0,0.21,0,4.37,0,0.1,0.31,0.21,3.64,0,0.21,1.14,0.42,0.31,0.21,0.42,0,0.1,0.21,0.42,0,0.31,0.21,0,0,0.21,0.62,0,0,0,0,0.1,0.31,0.21
22Month,0.14,0,0.27,1.23,0,0,0.14,0.55,8.61,0.27,0,0.41,0,0.14,0.14,0.14,0.14,0,0,0.14,0,0.14,0.55,0.14,0,0,0,0,0,0,0,0,0,0.14
