stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0.85,0,0,0,0,6.76,1.13,0,0,2.25,0,0,0,0,0,0
21Day,2.22,0,0,0.74,0,0,0,0,0,1.11,0,0.37,0,0,0.37,0,1.48,0,0,0,0,3.33,0.37,0,0,0.37,0,0,0.37,0,0,0.37
3Month,0,0.83,0.21,2.91,0.21,0.1,0.21,0.83,0.1,33.08,0.21,0,1.14,0.21,0.62,0.42,2.29,0.83,0,0.42,0.21,0.31,0,0.52,0,0,0.21,0.94,0,0.73,0.52,0.21
22Month,0,0.41,0,0,0,0,0.14,0.14,0.14,1.64,0.14,0,0.82,0,0,0.55,0.41,0,0.14,0,0,0,0,0.14,0.14,0.14,0,0,0,0,0,0
