stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,0,0,5.92,0,0,0,0,0,0,0.56,1.13,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,2.22,0.37,0,0,0,0,0,0,0.37,1.11,0,2.96,0.74,0.37,0,0,0,0,0.37,0,0,0,0.37,0.37,0.37,0,0,0,0,0.37
3Month,0.42,0.52,12.79,0,0.21,3.12,1.98,0,10.82,1.46,0.83,14.98,0.52,2.08,3.02,1.46,0.62,0,0.94,0.94,0.52,0,0.31,0.21,0,0.1,1.56,0,0,0.73,0.21,4.47
22Month,0.68,0.55,3.14,0,0,0.68,2.87,0.55,11.21,0.96,0.68,7.38,0,0.68,1.78,0.82,0.14,0.41,0.55,0,0,0,0.14,0.41,0,0,1.09,0.14,0.14,0,0,1.78
