stage,Mesenchymal_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell
24hpf,1,1,0,1,0
72hpf,0.85,0,0,0.85,0
21Day,1.85,0,0.37,1.85,0.37
