stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Osteoblast,T_cell
72hpf,0,0,0,0,0,0,0.28,0,0,0
21Day,0.74,0,0.37,0.37,18.5,0.37,0.37,0.37,0.37,0
3Month,0,0.1,0,0,0,0,0.21,0,0,0.1
