stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
72hpf,1.13,0,0,0.28,0,0,0,0,0,0,0.56,0,0,0.85,0,0.28,0.28,0.28,6.76,0
21Day,0.37,0,1.48,0.37,0,0,4.07,0,1.11,0.37,0,0.37,0,0.37,0,0,0.37,0,11.47,0.37
3Month,0,0,0.31,0,0,0,0.73,0.1,0.1,0.31,0.1,0,0.1,0,0,0,0,0,0,0
22Month,0,0.27,0,0,0.14,0.14,3.55,0.14,0,0.14,0,0,0,0,0.14,0,0,0,0,0.27
