stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.82,0.28,1.41,0.28,0.56,0,0,0,0,0,0,0,0,1.13,2.82,0.28,1.69,0,0,0,0.28,267.19,6.2,0,0,0,3.38,0,0,2.54,7.05,0.28,0,0,0,0
21Day,0.74,0,3.7,0,1.48,0,0,0,0,0.37,0,0.74,0,0.37,2.22,0.37,2.22,0,0,0,0,50.32,2.22,0,0,0,0.74,0.74,0,0,53.28,3.33,0,0,0,0.37
3Month,0,0.31,11.75,0,0,0.1,0.42,0.42,0,3.64,0.42,0,0.52,1.98,0.73,0.52,1.35,0.52,0.1,30.79,2.08,0.83,0.1,0,0,0,0.1,0.31,17.89,0,1.66,0,0.1,0.52,1.56,0.31
22Month,0,0.14,4.78,0,0,0,0,1.37,0.27,11.34,0.14,0.14,1.64,0.14,0,1.37,0.96,0,0.41,4.24,0,1.23,0,0.14,0.14,0.41,0,0.14,11.21,0.41,49.88,0,0,0,0,0.82
