stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0.56,0.28,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0.37,1.11,0,0,0,1.85,0,0,0,0,0.37,9.62,0,0.37,0,0.74,0,0,0,0,0.37,0.37,0.37,0,0,0,0,0.37,0,0,0,0
3Month,0.31,0.83,4.16,17.68,0,1.04,0.21,203.04,2.91,0,8.22,3.02,0.21,167.26,1.25,2.81,1.66,3.02,0.62,0,1.35,0.52,0.52,0,1.14,0.21,0.21,0.73,2.7,0.42,0,1.04,6.55,2.08
22Month,0,0.14,3.28,3.69,0,0.55,0,34.71,0.82,0.41,9.7,0.27,0,139.79,0,0.27,0.27,0.41,0,0.55,0.14,0,0.27,0,0.55,0.27,0,0.27,0.27,0.27,0.14,0,0,0
