stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0,0.85,0.56,1.97,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0.74,0,0,0,0,0
3Month,0,0,0.52,0.1,0.1,0.1,0.21,0.21,0.31,0.21,0,0.1,0.1,0.1,0,0.1,0,3.85,0,0,0.31,0,0.1
22Month,0.14,0.41,0.68,0,0,0.82,5.33,0,0.68,0,0.14,0.41,0.14,0,0.14,0.27,0,8.2,0.27,0.27,0.82,0.14,0.27
