stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0.85,1.69,0,0,0,0.28,0.56,1.41,0.56,2.25,166.85,5.36,0,0,1.13,0,0,0,0.28,0,0
21Day,0,0.37,0.74,1.11,0,0,0,0,0,0.37,0,0.74,44.77,1.48,0,1.11,0,1.85,0,0.37,0,0.37,0.74
3Month,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0.14,0,0.14,0,0,0,0,0.14,1.37,0.14,0.41,0,0,0,0.82,0.14,0,0,0
