stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Smooth_muscle_cell
24hpf,1,0,0,0,0,0,0,0,2,8,0,0
72hpf,0.28,0,0,0,0,0,0,0.28,4.79,1.13,0.28,0
21Day,0.37,0,0,0,0.37,0,0.37,1.11,4.44,1.48,0,0
3Month,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0.1
22Month,0,0.14,0.27,0.14,0,0,0,0.14,0,0,0,0
