stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,2,0,0,3,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,29,1,0,0,0,0
72hpf,0.56,0,0,0.56,0.28,0,0,0,0,0,0,0,0.56,0,1.69,0,0,0,5.07,1.41,0.56,0,0,0.28,0
21Day,0,0.37,0,2.22,0.37,0,0,0.37,0,0,0.37,0,0.37,0.74,2.96,0,0,0.37,3.7,1.85,0,0.74,0,0.74,0.37
3Month,0,0,0,1.25,0,0.1,0,0,0.73,0.21,0,0.21,0.21,0,0.1,0.31,0,0,0,0,0,0.21,0.42,0,0
22Month,0,0.14,0.14,0.27,0,0.14,0.27,0.41,4.37,0,0.27,0.68,0.14,0.55,0.55,0,0.14,0.14,0,0,0,0,0.14,0,0.14
