stage,Endothelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
72hpf,0,0,0,0,0,0,1.69,0,0,0.56,0.28,0.28,0
21Day,0,0,0,0.37,0,0,0.37,0,0.37,0.74,1.48,0,0
3Month,0.1,0.21,0.21,0,0.1,0.1,0.1,0.1,0.94,0.1,0,0,6.24
22Month,0,0.41,0,0,0,0,0,0,0.68,0,0,0,0
