stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,4.23,0.56,1.13,0,0,0,0,0,0,0,0.56,2.54,0,0.28,0,0,0,4.23,0.28,0.28,0,0,0,0,0.28,0,0,0
21Day,0.37,0,7.03,0.37,0.37,0.37,0,0,0,0,0,0,0,0.74,0,0.74,0,0,0,1.48,0.37,0,0.74,0,0,0.37,0,0,0,0
3Month,0,0.52,14.77,0.21,0,0,0.62,0.52,3.74,0.83,0,1.04,1.46,1.04,0.94,1.14,0.1,0.42,0.42,1.46,0.21,0.31,0.21,0.42,8.32,0,0,0.21,126.07,0.62
22Month,0,0.14,5.19,0,0,0,0.14,0.41,1.23,0.14,0.14,0.27,0.14,0.27,0.41,0.27,0,0,0,0.14,0,0,0,0,7.79,0,0,0,0.27,0.14
