stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0.28,0.28,0.85,1.13,0,0,0.56,0,0.28,0,0,0,0
21Day,3.7,0,0,0.74,0,0,0,0,0,0.74,0,0,0,0,0,0,1.11,0,1.11,0,0,0,0.37,0,0.37,0.37,0,0,0
3Month,0.1,0.42,0.21,0.31,0.1,0.21,0.21,0.1,0,37.86,0.31,0.1,1.04,0.21,0.21,0.62,0.52,0,0.21,0,0.21,0.1,0,0.62,11.86,0,0.31,0.73,0.1
22Month,0,0,0,0.41,0.14,0,0.14,0.14,0,22,0.14,0.14,0.68,0,0,0,0.27,0,0,0,0,0,0,0,6.01,0,0,0,0
