stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0
21Day,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0
3Month,0,0,0,0.1,0.42,0.1,0,0.1,0.1,0.1,0.31,0.1,0.1,0,0,0,0,0.1,0
22Month,0,0.14,0.41,0.14,1.91,0,0.14,0,0.14,0,0.27,0,0,0,0.14,0.14,0,0.41,0.14
