stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,1.41,0,0,0,0,0.56,0.28,0,0,0,0
21Day,0.37,0,0,1.48,0,0.37,0,0,0,1.11,0,0.37,0,0,0,0,0.37,0.37,0.37,0.37,0,0.37
3Month,0,0.1,0.1,1.56,0.21,0.1,0.21,0.62,0.31,0,0.52,0.31,0.52,0.31,0.21,0.1,0.21,0,0,0,0.21,0.94
22Month,0,0.14,0,0.41,0,0,0.14,0.41,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0.14
