stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,1,0
21Day,0,0,0,0.37,0,0,0
3Month,0.21,0,0.1,0.1,0,0,0.1
22Month,0.27,0.14,0.41,0,0.14,0,0
