stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,6,0,0,0,0,0
72hpf,0,0,0,1.69,0,0.28,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0.37,0,0,6.66,0.37,0,0,0,0,0,0.37,0,0.37,0.74,0.37,0,0,0,0,0.37,0,0,0.37,0,0.37,0.74
3Month,0,0.1,0.1,14.35,0,0,0,0,0.62,0.31,0,0.1,0.31,0.62,0.62,0.52,0.1,0,0.1,0.21,0.1,0.1,0,2.29,0,0.31
22Month,0,0,0,2.32,0,0,0.68,0,2.46,0,0,0,0.14,0.14,0.68,0.27,0,0.14,0,0,0,0.14,0,4.37,0,0
