stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,13,0,0,0,0,0,0,0,1,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0.28,0,0.28,1.13,0,0.85,0,0,20.57,1.97,0,0.28,0,0.85,0,0.28,0.28,9.86,0,0
21Day,0.74,0,2.22,1.48,0.74,0,0,0,0.74,0,0.74,0,0,1.11,0.74,1.48,0,0.37,17.02,1.85,0.37,0,0,0.37,1.11,0,0,18.5,0,0
3Month,0,0.31,0.94,0,0,0.1,0.1,0,2.29,0.42,0.1,1.04,0.21,0.52,0.21,1.35,0.52,0.1,0.42,0,6.14,0.1,0,0.1,0.31,20.49,0.1,0.73,11.03,0.52
22Month,0,0,0.14,0,0,0,0.41,0.55,1.91,0.14,0.14,0.27,0.14,0,0.14,0.14,0,0,0.68,0,2.87,0,0.41,0,0.14,8.06,0.14,0,0,0
