stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
72hpf,0.85,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,1.48,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0.37,0,0,0
3Month,0.31,0.1,0,0,0.1,0.73,0.42,0,0,0,0,0.1,0,0,0.42,0,0.1,0.21
22Month,0,0,0.14,0.14,0,2.87,2.32,0.14,0.14,0.27,0.27,0,0,0.14,0.55,0.14,0,0
