stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0,0.21,0.1,1.14,0.1,0.1,0.1,0.21,0,0.94,0.52,0.21,0.31,0.1,0.1,0.31,0.83,0,0.1,0.21,0.1,0.1,0.1,0.21,0.52,0.1,0.31
22Month,0.14,0.68,0.14,0.27,0,0,0,0.41,0.14,1.78,0.14,0,0.14,0,0,0.27,0.41,0.14,0,0,0,0,0.41,0.14,0,0,0.14
